REQUIREMENT_DESIGNATION,COURSE,TITLE,UNITS_MINIMUM,UNITS_MAXIMUM,RQMNT_DESIGNTN,LS_ESSENTIAL_SKILL,FIRST_TERM,LAST_TERM,CRSE_ID,FIRST_TERM_CODE,LAST_TERM_CODE
Cultural Understanding,ARH 353,TWENTIETH CENT ART SINCE 1945,3,3,CU,,Spring 2005,Summer 2012,000492,1051,1124
Cultural Understanding,ARH 353,20TH CENT SINCE 1945,3,3,CU,,Spring 2000,Winter 2004,000492,1001,1048
Cultural Understanding,ARH 365,ART & ARCHITECT/MEXICO & MAYA,3,3,CUG,Effective Writing,Fall 2012,,009961,1127,
Cultural Understanding,ARH 365,ART & ARCHITECT/MEXICO & MAYA,3,3,CUG,,Fall 2006,Summer 2012,009961,1067,1124
Cultural Understanding,ASN 108,GATEWAYS TO ASIA,3,3,CUG,,Fall 2005,Spring 2012,000735,1057,1121
Cultural Understanding,ASN 108,GATEWAYS TO ASIA,3,3,CU,,Fall 1999,Summer 2005,000735,0997,1054
Cultural Understanding,ASN 208,THE ASIAN AMERICAN EXPERIENCE,3,3,CU,,Spring 2005,Spring 2012,000736,1051,1121
Cultural Understanding,ASN 208,ASIAN AMERICAN EXPER,3,3,CU,,Spring 2002,Winter 2004,000736,1021,1048
Cultural Understanding,AST 201,INTRO TO INDIGENOUS ASTRONOMY,3,3,CUE,Critical Thinking,Fall 2012,,009930,1127,
Cultural Understanding,AST 201,INTRO TO INDIGENOUS ASTRONOMY,3,3,CUE,,Fall 2006,Summer 2012,009930,1067,1124
Cultural Understanding,BBA 387,SPANISH FOR BUSINESS III,3,3,CU,Critical Thinking,Fall 2014,,010600,1147,
Cultural Understanding,BBA 387,SPANISH FOR BUSINESS III,3,3,CU,Effective Writing,Fall 2014,,010600,1147,
Cultural Understanding,BBA 387,SPANISH FOR BUSINESS III,3,3,CU,Oral Communication,Fall 2014,,010600,1147,
Cultural Understanding,BBA 389,COMMERCIAL SPANISH,3,3,CU,Critical Thinking,Fall 2014,,010601,1147,
Cultural Understanding,BBA 389,COMMERCIAL SPANISH,3,3,CU,Effective Writing,Fall 2014,,010601,1147,
Cultural Understanding,BBA 389,COMMERCIAL SPANISH,3,3,CU,Oral Communication,Fall 2014,,010601,1147,
Cultural Understanding,BME 210,FOUNDATNS OF MULTICULTURAL EDU,3,3,CUE,Effective Writing,Fall 2012,,001081,1127,
Cultural Understanding,BME 310,FOUNDATNS OF MULTICULTURAL EDU,3,3,CUE,,Spring 2007,Summer 2012,001081,1071,1124
Cultural Understanding,BME 310,FOUNDATNS OF MULTICULTURAL EDU,3,3,CU,,Spring 2005,Winter 2006,001081,1051,1068
Cultural Understanding,BME 310,FOUND MULTICULT EDUC,3,3,CU,,Spring 2000,Winter 2004,001081,1001,1048
Cultural Understanding,BME 310,ROUND MULTICULT EDUC,3,3,CU,,Fall 1999,Fall 1999,001081,0997,0997
Cultural Understanding,CHI 101,FIRST YEAR CHINESE (MANDARIN),4,4,CU,Oral Communication,Fall 2012,,001261,1127,
Cultural Understanding,CHI 101,FIRST YEAR CHINESE (MANDARIN),4,4,CU,,Spring 2005,Summer 2012,001261,1051,1124
Cultural Understanding,CHI 101,1ST YR CHI(MANDARIN),4,4,CU,,Fall 1999,Winter 2004,001261,0997,1048
Cultural Understanding,CHI 102,FIRST YEAR CHINESE (MANDARIN),4,4,CU,Oral Communication,Fall 2012,,001262,1127,
Cultural Understanding,CHI 102,FIRST YEAR CHINESE (MANDARIN),4,4,CU,,Spring 2005,Summer 2012,001262,1051,1124
Cultural Understanding,CHI 102,1ST YR CHI(MANDARIN),4,4,CU,,Fall 1999,Winter 2004,001262,0997,1048
Cultural Understanding,CHI 201,SECOND YEAR CHINESE,4,4,CU,Oral Communication,Fall 2012,,001264,1127,
Cultural Understanding,CHI 201,SECOND YEAR CHINESE,4,4,CU,,Fall 1999,Summer 2012,001264,0997,1124
Cultural Understanding,CHI 202,SECOND YEAR CHINESE,4,4,CU,Oral Communication,Fall 2012,,001265,1127,
Cultural Understanding,CHI 202,SECOND YEAR CHINESE,4,4,CU,,Fall 2010,Summer 2012,001265,1107,1124
Cultural Understanding,CINE 268,SOCIAL PROTEST FILMS 1960S,3,3,CUG,,Fall 2014,,010855,1147,
Cultural Understanding,CM 120,BUILDING THE HUMAN ENVIRONMENT,3,3,CU,,Fall 2004,Summer 2011,001550,1047,1114
Cultural Understanding,CM 120,BUILD HUMAN ENVIRON,3,3,CU,,Fall 1999,Summer 2004,001550,0997,1044
Cultural Understanding,CM 120H,BUILD HUMAN ENVIRON - HONORS,3,3,CU,,Spring 2003,Summer 2011,001551,1031,1114
Cultural Understanding,COM 301,"RACE, GENDER, AND MEDIA",3,3,CUE,Oral Communication,Fall 2012,,001620,1127,
Cultural Understanding,COM 301,"RACE, GENDER, AND MEDIA",3,3,CUE,,Fall 2005,Summer 2012,001620,1057,1124
Cultural Understanding,COM 301,"RACE, GENDER, AND MEDIA",3,3,CU,,Spring 2005,Summer 2005,001620,1051,1054
Cultural Understanding,COM 301,"RACE,GENDER & MEDIA",3,3,CU,,Fall 1999,Winter 2004,001620,0997,1048
Cultural Understanding,COM 301H,"RACE, GENDER, AND MEDIA-HONORS",3,3,CUE,,Fall 2005,,001621,1057,
Cultural Understanding,COM 301H,"RACE, GENDER, AND MEDIA-HONORS",3,3,CU,,Spring 2005,Summer 2005,001621,1051,1054
Cultural Understanding,COM 301H,"RACE,GEN & MED-HONORS",3,3,CU,,Fall 2001,Winter 2004,001621,1017,1048
Cultural Understanding,CST 323,INTERCULTURAL COMMUNICATION,3,3,CU,Critical Thinking,Fall 2012,,007613,1127,
Cultural Understanding,CST 323,INTERCULTURAL COMMUNICATION,3,3,CU,,Fall 2011,Summer 2012,007613,1117,1124
Cultural Understanding,DIS 201,INTRODUCTION TO DISABILITY,3,3,CU,,Summer 2010,Summer 2010,010345,1104,1104
Cultural Understanding,DIS 309,DISABILITY HISTORY,3,3,CU,,Fall 2012,,010850,1127,
Cultural Understanding,ENG 121,THE STORY OF ENGLISH,3,3,CU,Scientific Inquiry,Winter 2012,,002609,1128,
Cultural Understanding,ENG 121,THE STORY OF ENGLISH,3,3,CU,,Fall 1999,Fall 2012,002609,0997,1127
Cultural Understanding,ENG 220,ENGLISH GRAMMAR AND USAGE,3,3,CU,Scientific Inquiry,Fall 2012,,002625,1127,
Cultural Understanding,ENG 220,ENGLISH GRAMMAR AND USAGE,3,3,CU,,Spring 2005,Summer 2012,002625,1051,1124
Cultural Understanding,ENG 220,GRAMMAR AND USAGE,3,3,CU,,Fall 1999,Winter 2004,002625,0997,1048
Cultural Understanding,ENG 223,LANGUAGE IN THE UNITED STATES,3,3,CU,Effective Writing,Fall 2012,,002628,1127,
Cultural Understanding,ENG 223,LANGUAGE IN THE UNITED STATES,3,3,CU,,Spring 2005,Summer 2012,002628,1051,1124
Cultural Understanding,ENG 223,LANGUAGE IN THE US,3,3,CU,,Fall 1999,Winter 2004,002628,0997,1048
Cultural Understanding,ENG 266,WORLD CINEMA: AN INTRODUCTION,3,3,CU,Critical Thinking,Fall 2012,,010185,1127,
Cultural Understanding,ENG 266,WORLD CINEMA: AN INTRODUCTION,3,3,CU,,Fall 2009,Summer 2012,010185,1097,1124
Cultural Understanding,ENG 266H,WORLD CINEMA: AN INTRO - HONOR,3,3,CU,,Fall 2009,,010311,1097,
Cultural Understanding,ENG 308,INTRODUCTION TO LINGUISTICS,3,3,CU,Scientific Inquiry,Fall 2012,,002658,1127,
Cultural Understanding,ENG 308,INTRODUCTION TO LINGUISTICS,3,3,CU,,Spring 2005,Summer 2012,002658,1051,1124
Cultural Understanding,ENG 308,INTRO TO LINGUISTICS,3,3,CU,,Fall 1999,Winter 2004,002658,0997,1048
Cultural Understanding,ENG 308H,INTRO TO LINGUISTICS - HONORS,3,3,CU,Scientific Inquiry,Fall 2012,,010760,1127,
Cultural Understanding,ENG 308H,INTRO TO LINGUISTICS - HONORS,3,3,CU,,Fall 2011,Summer 2012,010760,1117,1124
Cultural Understanding,ENG 321,ENGLISH GRAMMARS,3,3,CU,Scientific Inquiry,Fall 2012,,002669,1127,
Cultural Understanding,ENG 321,ENGLISH GRAMMARS,3,3,CU,,Fall 1999,Summer 2012,002669,0997,1124
Cultural Understanding,ENG 321H,ENGLISH GRAMMAR - HONORS,3,3,CU,,Spring 2012,,010839,1121,
Cultural Understanding,ENG 364,POPULAR LITERATURE,3,3,CU,Effective Writing,Fall 2012,,002705,1127,
Cultural Understanding,ENG 364,POPULAR LITERATURE,3,3,CU,,Fall 1999,Summer 2012,002705,0997,1124
Cultural Understanding,ENG 364H,POPULAR LITERATURE - HONORS,3,3,CU,Effective Writing,Fall 2012,,009430,1127,
Cultural Understanding,ENG 364H,POPULAR LITERATURE - HONORS,3,3,CU,,Spring 2005,Summer 2012,009430,1051,1124
Cultural Understanding,ENG 364H,POPULAR LIT - HONORS,3,3,CU,,Fall 2003,Winter 2004,009430,1037,1048
Cultural Understanding,ENG 380,AMERICAN FOLKLORE,3,3,CU,Critical Thinking,Fall 2012,,002714,1127,
Cultural Understanding,ENG 380,AMERICAN FOLKLORE,3,3,CU,,Fall 1999,Summer 2012,002714,0997,1124
Cultural Understanding,ES 100,INTRODUCTION TO ETHNIC STUDIES,3,3,CUE,Critical Thinking,Fall 2012,,010062,1127,
Cultural Understanding,ES 100,INTRODUCTION TO ETHNIC STUDIES,3,3,CUE,,Fall 2008,Summer 2012,010062,1087,1124
Cultural Understanding,ES 100H,INTRO TO ETHNIC STUDIES - HONO,3,3,CUE,,Spring 2009,,010313,1091,
Cultural Understanding,ES 191,"WMN, GENDER IDENTITY & ETHNCTY",3,3,CUE,Critical Thinking,Fall 2012,,003045,1127,
Cultural Understanding,ES 191,"WMN, GENDER IDENTITY & ETHNCTY",3,3,CUE,,Fall 2005,Summer 2012,003045,1057,1124
Cultural Understanding,ES 191,"GENDER, IDENTITY & ETHNICITY",3,3,CU,,Spring 2005,Summer 2005,003045,1051,1054
Cultural Understanding,ES 191,WOMEN/GENDER/ETHNCTY,3,3,CU,,Spring 2000,Winter 2004,003045,1001,1048
Cultural Understanding,ES 310,CHICANA FEMINISMS,3,3,CUE,Critical Thinking,Fall 2012,,010811,1127,
Cultural Understanding,ES 325,INDIGENOUS WOMEN IN THE U.S.,3,3,CUE,Critical Thinking,Fall 2012,,010225,1127,
Cultural Understanding,ES 325,INDIGENOUS WOMEN IN THE U.S.,3,3,CUE,,Fall 2008,Summer 2012,010225,1087,1124
Cultural Understanding,ES 356,"RACE, POWER AND POLITICS",3,3,CUE,Critical Thinking,Fall 2012,,003047,1127,
Cultural Understanding,ES 356,"RACE, POWER AND POLITICS",3,3,CUE,,Fall 2005,Summer 2012,003047,1057,1124
Cultural Understanding,ES 356,"RACE, POWER AND POLITICS",3,3,CU,,Spring 2005,Summer 2005,003047,1051,1054
Cultural Understanding,ES 356,"RACE, POWER & POL",3,3,CU,,Spring 2000,Winter 2004,003047,1001,1048
Cultural Understanding,ES 358,CRITICAL RACE THEORY,3,3,CUE,Effective Writing,Fall 2012,,010501,1127,
Cultural Understanding,ES 358,CRITICAL RACE THEORY,3,3,CUE,,Fall 2010,Summer 2012,010501,1107,1124
Cultural Understanding,ES 391,SPEC TOPICS IN ETHNIC STUDIES,3,3,CUE,Critical Thinking,Fall 2012,,003048,1127,
Cultural Understanding,ES 391,SPEC TOPICS IN ETHNIC STUDIES,3,3,CUE,,Fall 2005,Summer 2012,003048,1057,1124
Cultural Understanding,ES 391,SPEC TOPICS IN ETHNIC STUDIES,3,3,CU,,Spring 2005,Summer 2005,003048,1051,1054
Cultural Understanding,ES 391,SPEC TOPICS: ETHNIC STUDIES,3,3,CU,,Fall 2002,Fall 2002,003048,1027,1027
Cultural Understanding,ES 391,CIVIL RIGHTS MOVEMNT,3,3,CU,,Spring 2002,Sumr 10 Wk 2002,003048,1021,1026
Cultural Understanding,ES 391,ETHNIC STUDIES,3,3,CU,,Spring 2000,Winter 2004,003048,1001,1048
Cultural Understanding,ES 391H,SPC TPCS ETHNIC STUDIES-HONORS,3,3,CUE,,Fall 2005,Summer 2014,009684,1057,1144
Cultural Understanding,ES 391H,SPC TPCS ETHNIC STUDIES-HONORS,3,3,CU,,Spring 2005,Summer 2005,009684,1051,1054
Cultural Understanding,ES 392,TOPICS: GLOBAL ETHNIC DIVERSIT,3,3,CUG,,Fall 2011,,010670,1117,
Cultural Understanding,FRE 101,FIRST YEAR FRENCH,4,4,CU,Oral Communication,Fall 2012,,003469,1127,
Cultural Understanding,FRE 101,FIRST YEAR FRENCH,4,4,CU,,Fall 1999,Summer 2012,003469,0997,1124
Cultural Understanding,FRE 102,FIRST YEAR FRENCH,4,4,CU,Oral Communication,Fall 2012,,003470,1127,
Cultural Understanding,FRE 102,FIRST YEAR FRENCH,4,4,CU,,Fall 1999,Summer 2012,003470,0997,1124
Cultural Understanding,FRE 201,SECOND YEAR FRENCH,4,4,CU,Oral Communication,Winter 2012,,003473,1128,
Cultural Understanding,FRE 201,SECOND YEAR FRENCH,4,4,CU,,Fall 1999,Fall 2012,003473,0997,1127
Cultural Understanding,FRE 202,SECOND YEAR FRENCH,4,4,CU,Oral Communication,Fall 2012,,003474,1127,
Cultural Understanding,FRE 202,2ND YEAR FRENCH-2ND SEM,4,4,CU,,Spring 2001,Spring 2001,003474,1011,1011
Cultural Understanding,FRE 202,SECOND YEAR FRENCH,4,4,CU,,Fall 1999,Summer 2012,003474,0997,1124
Cultural Understanding,FRE 202H,SECOND YR FRENCH - HONORS,4,4,CU,,Fall 2009,,009677,1097,
Cultural Understanding,FRE 202H,SECOND YEAR FRENCH-HONORS,4,4,CU,,Summer 2004,Summer 2009,009677,1044,1094
Cultural Understanding,FS 131,CU FIRST YEAR SEMINAR,3,3,CU,Any Skill,Fall 2012,Summer 2014,010126,1127,1144
Cultural Understanding,FS 131,CU FIRST YEAR SEMINAR,3,3,CU,,Fall 2007,Summer 2012,010126,1077,1124
Cultural Understanding,FS 131H,CU 1ST YEAR SEMINAR - HONORS,3,3,CU,Any Skill,Fall 2013,Summer 2014,010288,1137,1144
Cultural Understanding,FS 131H,CU FIRST YEAR SEMINAR,3,3,CU,Any Skill,Fall 2012,Summer 2013,010288,1127,1134
Cultural Understanding,FS 131H,CU FIRST YEAR SEMINAR,3,3,CU,,Fall 2008,Summer 2012,010288,1087,1124
Cultural Understanding,FYS 131,CU FIRST YEAR SEMINAR,3,3,CU,Any Skill,Fall 2014,,010126,1147,
Cultural Understanding,FYS 131H,CU 1ST YEAR SEMINAR - HONORS,3,3,CU,Any Skill,Fall 2014,,010288,1147,
Cultural Understanding,GER 101,FIRST YEAR GERMAN,4,4,CU,Oral Communication,Fall 2012,,003569,1127,
Cultural Understanding,GER 101,FIRST YEAR GERMAN,4,4,CU,,Fall 1999,Summer 2012,003569,0997,1124
Cultural Understanding,GER 102,FIRST YEAR GERMAN,4,4,CU,Oral Communication,Fall 2012,,003570,1127,
Cultural Understanding,GER 102,FIRST YEAR GERMAN,4,4,CU,,Fall 1999,Summer 2012,003570,0997,1124
Cultural Understanding,GER 201,SECOND YEAR GERMAN,4,4,CU,Oral Communication,Fall 2012,,003573,1127,
Cultural Understanding,GER 201,SECOND YEAR GERMAN,4,4,CU,,Fall 1999,Summer 2012,003573,0997,1124
Cultural Understanding,GER 201H,SECOND YEAR GERMAN-HONORS,4,4,CU,Oral Communication,Fall 2012,,009832,1127,
Cultural Understanding,GER 201H,SECOND YEAR GERMAN-HONORS,4,4,CU,,Summer 2004,Summer 2012,009832,1044,1124
Cultural Understanding,GER 202,SECOND YEAR GERMAN,4,4,CU,Oral Communication,Fall 2012,,003574,1127,
Cultural Understanding,GER 202,SECOND YEAR GERMAN,4,4,CU,,Fall 1999,Summer 2012,003574,0997,1124
Cultural Understanding,GER 202H,SECOND YEAR GERMAN-HONORS,4,4,CU,Oral Communication,Fall 2012,,009938,1127,
Cultural Understanding,GER 202H,SECOND YEAR GERMAN-HONORS,4,4,CU,,Fall 2004,Summer 2012,009938,1047,1124
Cultural Understanding,GGR 248,FOODS OF THE US,3,3,CU,,Fall 2004,Summer 2011,009432,1047,1114
Cultural Understanding,GRK 101,FIRST YEAR GREEK (ANCIENT),4,4,CU,Critical Thinking,Fall 2012,,009442,1127,
Cultural Understanding,GRK 101,FIRST YEAR GREEK (ANCIENT),4,4,CU,,Fall 2004,Summer 2012,009442,1047,1124
Cultural Understanding,GRK 102,FIRST YEAR GREEK (ANCIENT),4,4,CU,Critical Thinking,Fall 2012,,009443,1127,
Cultural Understanding,GRK 102,FIRST YEAR GREEK (ANCIENT),4,4,CU,,Fall 2004,Summer 2012,009443,1047,1124
Cultural Understanding,GRK 201,SECOND YEAR GREEK (ANCIENT),4,4,CU,Critical Thinking,Fall 2012,,009444,1127,
Cultural Understanding,GRK 201,SECOND YEAR GREEK (ANCIENT),4,4,CU,,Fall 2004,Summer 2012,009444,1047,1124
Cultural Understanding,GRK 202,SECOND YEAR GREEK (ANCIENT),4,4,CU,Critical Thinking,Fall 2012,,009445,1127,
Cultural Understanding,GRK 202,SECOND YEAR GREEK (ANCIENT),4,4,CU,,Fall 2004,Summer 2012,009445,1047,1124
Cultural Understanding,GSP 148,FOODS OF THE US,3,3,CU,Effective Writing,Fall 2012,,009432,1127,
Cultural Understanding,GSP 148,FOODS OF THE US,3,3,CU,,Fall 2011,Summer 2012,009432,1117,1124
Cultural Understanding,HIS 100,WORLD HISTORY I,3,3,CU,,Fall 1999,Winter 2009,004073,0997,1098
Cultural Understanding,HIS 100H,WORLD HISTORY I-HONORS,3,3,CU,,Fall 2003,Winter 2009,009391,1037,1098
Cultural Understanding,HIS 102,WORLD HISTORY II,3,3,CUG,Critical Thinking,Fall 2012,,004075,1127,
Cultural Understanding,HIS 102,WORLD HISTORY II,3,3,CUG,,Fall 2005,Summer 2012,004075,1057,1124
Cultural Understanding,HIS 102,WORLD HISTORY II,3,3,CU,,Fall 1999,Summer 2005,004075,0997,1054
Cultural Understanding,HIS 102H,WORLD HISTORY II - HONORS,3,3,CUG,,Fall 2005,,004076,1057,
Cultural Understanding,HIS 102H,WORLD HISTORY II - HONORS,3,3,CU,,Spring 2002,Summer 2005,004076,1021,1054
Cultural Understanding,HIS 220,HISTORY OF AFRICA TO 1800,3,3,CUG,Critical Thinking,Fall 2012,,004082,1127,
Cultural Understanding,HIS 220,HISTORY OF AFRICA TO 1800,3,3,CUG,,Fall 2005,Summer 2012,004082,1057,1124
Cultural Understanding,HIS 220,HISTORY OF AFRICA TO 1800,3,3,CU,,Spring 2005,Summer 2005,004082,1051,1054
Cultural Understanding,HIS 220,AFRICA TO 1800,3,3,CU,,Fall 2002,Winter 2004,004082,1027,1048
Cultural Understanding,HIS 221,HISTORY OF AFRICA SINCE 1800,3,3,CUG,Critical Thinking,Fall 2012,,004083,1127,
Cultural Understanding,HIS 221,HISTORY OF AFRICA SINCE 1800,3,3,CUG,,Fall 2005,Summer 2012,004083,1057,1124
Cultural Understanding,HIS 221,HISTORY OF AFRICA SINCE 1800,3,3,CU,,Spring 2005,Summer 2005,004083,1051,1054
Cultural Understanding,HIS 221,AFRICA SINCE 1800,3,3,CU,,Fall 2002,Winter 2004,004083,1027,1048
Cultural Understanding,HIS 230,HISTORY OF ISLAMIC WORLD I,3,3,CUG,Critical Thinking,Fall 2012,,004084,1127,
Cultural Understanding,HIS 230,HISTORY OF ISLAMIC WORLD I,3,3,CUG,,Fall 2005,Summer 2012,004084,1057,1124
Cultural Understanding,HIS 230,HISTORY OF ISLAMIC WORLD I,3,3,CU,,Spring 2005,Summer 2005,004084,1051,1054
Cultural Understanding,HIS 230,HIST ISLAMIC WORLD I,3,3,CU,,Fall 2003,Winter 2004,004084,1037,1048
Cultural Understanding,HIS 231,HISTORY OF ISLAMIC WORLD II,3,3,CUG,Critical Thinking,Fall 2012,,004085,1127,
Cultural Understanding,HIS 231,HISTORY OF ISLAMIC WORLD II,3,3,CUG,,Fall 2005,Summer 2012,004085,1057,1124
Cultural Understanding,HIS 231,HISTORY OF ISLAMIC WORLD II,3,3,CU,,Spring 2005,Summer 2005,004085,1051,1054
Cultural Understanding,HIS 231,HIST ISLAMIC WRLD II,3,3,CU,,Fall 2002,Winter 2004,004085,1027,1048
Cultural Understanding,HIS 231H,HIST/ ISLAMIC WRLD II - HONORS,3,3,CUG,Critical Thinking,Fall 2012,,004086,1127,
Cultural Understanding,HIS 231H,HIST/ ISLAMIC WRLD II - HONORS,3,3,CUG,,Fall 2005,Summer 2012,004086,1057,1124
Cultural Understanding,HIS 231H,HIST/ ISLAMIC WRLD II - HONORS,3,3,CU,,Spring 2003,Summer 2005,004086,1031,1054
Cultural Understanding,HIS 249,PRE-MODERN INDIA,3,3,CUG,Critical Thinking,Fall 2012,,004089,1127,
Cultural Understanding,HIS 249,PRE-MODERN INDIA,3,3,CUG,,Fall 2005,Summer 2012,004089,1057,1124
Cultural Understanding,HIS 249,PRE-MODERN INDIA,3,3,CU,,Fall 1999,Summer 2005,004089,0997,1054
Cultural Understanding,HIS 249H,PRE-MODERN INDIA - HONORS,3,3,CUG,Critical Thinking,Fall 2012,,009562,1127,
Cultural Understanding,HIS 249H,PRE-MODERN INDIA - HONORS,3,3,CUG,,Fall 2005,Summer 2012,009562,1057,1124
Cultural Understanding,HIS 249H,PRE-MODERN INDIA - HONORS,3,3,CU,,Fall 2004,Summer 2005,009562,1047,1054
Cultural Understanding,HIS 250,PRE-MODERN EAST ASIA,3,3,CUG,,Fall 2005,,004090,1057,
Cultural Understanding,HIS 250,PRE-MODERN EAST ASIA,3,3,CU,,Fall 1999,Summer 2005,004090,0997,1054
Cultural Understanding,HIS 250H,PRE-MODERN EAST ASIA-HONORS,3,3,CUG,,Fall 2005,,009392,1057,
Cultural Understanding,HIS 250H,PRE-MODERN EAST ASIA-HONORS,3,3,CU,,Fall 2003,Summer 2005,009392,1037,1054
Cultural Understanding,HIS 280,COLONIAL LATIN AMERICA,3,3,CUG,Critical Thinking,Fall 2012,,004094,1127,
Cultural Understanding,HIS 280,COLONIAL LATIN AMERICA,3,3,CUG,,Fall 2005,Summer 2012,004094,1057,1124
Cultural Understanding,HIS 280,COLONIAL LATIN AMERICA,3,3,CU,,Spring 2005,Summer 2005,004094,1051,1054
Cultural Understanding,HIS 280,COLONIAL LATIN AMER,3,3,CU,,Fall 1999,Winter 2004,004094,0997,1048
Cultural Understanding,HIS 281,LATIN AMERICA INDEP - PRESENT,3,3,CUG,Critical Thinking,Fall 2012,,004095,1127,
Cultural Understanding,HIS 281,LATIN AMERICA INDEP - PRESENT,3,3,CUG,,Fall 2005,Summer 2012,004095,1057,1124
Cultural Understanding,HIS 281,LATIN AMERICA INDEP - PRESENT,3,3,CU,,Fall 1999,Summer 2005,004095,0997,1054
Cultural Understanding,HIS 293,AMERICAN INDIAN HISTORY,3,3,CUE,Critical Thinking,Fall 2012,,004100,1127,
Cultural Understanding,HIS 293,AMERICAN INDIAN HISTORY,3,3,CUE,,Fall 2005,Summer 2012,004100,1057,1124
Cultural Understanding,HIS 293,AMERICAN INDIAN HISTORY,3,3,CU,,Spring 2005,Summer 2005,004100,1051,1054
Cultural Understanding,HIS 293,AMER INDIAN HISTORY,3,3,CU,,Fall 1999,Winter 2004,004100,0997,1048
Cultural Understanding,HIS 293H,AMERICAN INDIAN HIST - HONORS,3,3,CUE,Critical Thinking,Fall 2012,,009827,1127,
Cultural Understanding,HIS 293H,AMERICAN INDIAN HIST - HONORS,3,3,CUE,,Fall 2005,Summer 2012,009827,1057,1124
Cultural Understanding,HIS 295,SURVEY OF U. S. WOMEN & GENDE,3,3,CU,Critical Thinking,Fall 2012,,004102,1127,
Cultural Understanding,HIS 295,SURVEY OF U. S. WOMEN & GENDE,3,3,CU,,Fall 2008,Summer 2012,004102,1087,1124
Cultural Understanding,HIS 295,WOMEN IN AMERICAN HISTORY,3,3,CU,,Fall 2005,Summer 2008,004102,1057,1084
Cultural Understanding,HIS 295,WOMEN IN AM HISTORY,3,3,CU,,Fall 1999,Summer 2005,004102,0997,1054
Cultural Understanding,HIS 295H,SURVEY OF U. S. WOMEN - HONORS,3,3,CU,Critical Thinking,Fall 2012,,009393,1127,
Cultural Understanding,HIS 295H,SURVEY OF U. S. WOMEN - HONORS,3,3,CU,,Fall 2008,Summer 2012,009393,1087,1124
Cultural Understanding,HIS 295H,WOMEN/AMERICAN HIST - HONORS,3,3,CU,,Fall 2005,Summer 2008,009393,1057,1084
Cultural Understanding,HIS 295H,WOMEN/AM HISTORY - HONORS,3,3,CU,,Fall 2004,Summer 2005,009393,1047,1054
Cultural Understanding,HIS 295H,WOMEN IN AM HISTORY-HONORS,3,3,CU,,Fall 2003,Summer 2004,009393,1037,1044
Cultural Understanding,HIS 297,WOMEN IN ASIA,3,3,CUG,,Fall 2005,Summer 2012,004104,1057,1124
Cultural Understanding,HIS 297,WOMEN IN ASIA,3,3,CU,,Fall 1999,Summer 2005,004104,0997,1054
Cultural Understanding,HIS 297H,WOMEN IN ASIA - HONORS,3,3,CUG,,Fall 2005,Summer 2012,009378,1057,1124
Cultural Understanding,HIS 297H,WOMEN IN ASIA - HONORS,3,3,CU,,Spring 2005,Summer 2005,009378,1051,1054
Cultural Understanding,HIS 297H,WOMEN IN ASIA-HONORS,3,3,CU,,Fall 2003,Winter 2004,009378,1037,1048
Cultural Understanding,HIS 309,DISABILITY HISTORY,3,3,CU,,Fall 2012,,010852,1127,
Cultural Understanding,HIS 331,MEDIEVAL JAPAN 13TH-17TH CENT,3,3,CUG,Critical Thinking,Fall 2012,,004120,1127,
Cultural Understanding,HIS 331,MEDIEVAL JAPAN 13TH-17TH CENT,3,3,CUG,,Summer 2010,Summer 2012,004120,1104,1124
Cultural Understanding,HIS 367,"AZ & THE SW, 1848 TO PRESENT",3,3,CU,Critical Thinking,Fall 2012,,004198,1127,
Cultural Understanding,HIS 367,"AZ & THE SW, 1848-PRESENT",3,3,CU,,Fall 2009,Summer 2012,004198,1097,1124
Cultural Understanding,HIS 367,FROM SOUTHWEST TO SUNBELT,3,3,CU,,Fall 2008,Summer 2009,004198,1087,1094
Cultural Understanding,HIS 368,MAKING OF THE U.S. WEST,3,3,CU,Critical Thinking,Fall 2012,,004200,1127,
Cultural Understanding,HIS 368,MAKING OF THE U.S. WEST,3,3,CU,,Fall 2008,Summer 2012,004200,1087,1124
Cultural Understanding,HIS 368H,MAKING OF THE U.S. WEST - HNRS,3,3,CU,Critical Thinking,Fall 2012,,009384,1127,
Cultural Understanding,HIS 368H,MAKING OF THE U.S. WEST,3,3,CU,,Fall 2008,Summer 2012,009384,1087,1124
Cultural Understanding,HIS 369,THE U.S. WEST TRANSFORMED,3,3,CU,Critical Thinking,Fall 2012,,004202,1127,
Cultural Understanding,HIS 369,THE U.S. WEST TRANSFORMED,3,3,CU,,Fall 2008,Summer 2012,004202,1087,1124
Cultural Understanding,HIS 370,HISTORY OF U.S. SPORTS,3,3,CU,Critical Thinking,Fall 2012,,010244,1127,
Cultural Understanding,HIS 370,HISTORY OF U.S. SPORTS,3,3,CU,,Fall 2008,Summer 2012,010244,1087,1124
Cultural Understanding,HIS 372,THE U.S. IN THE WORLD,3,3,CU,Effective Writing,Fall 2012,,004206,1127,
Cultural Understanding,HIS 372,THE U.S. IN THE WORLD,3,3,CU,,Fall 2008,Summer 2012,004206,1087,1124
Cultural Understanding,HIS 372H,THE U.S. IN THE WORLD - HONORS,3,3,CU,Critical Thinking,Fall 2012,,009499,1127,
Cultural Understanding,HIS 372H,THE U.S. IN THE WORLD - HONORS,3,3,CU,,Fall 2008,Summer 2012,009499,1087,1124
